Experiment_Set,Run_Number,Iteration,p,e,Best_Fitness,Average_Fitness,Standard_Deviation
4,1,2000,10,0.6,797.0,1331.5,263.4593896599626
4,1,2500,10,0.6,596.0,821.4,236.75016367470582
4,1,3000,10,0.6,345.0,359.0,9.16515138991168
4,1,3500,10,0.6,345.0,345.0,0.0
4,1,4000,10,0.6,345.0,345.0,0.0
4,1,4500,10,0.6,345.0,345.0,0.0
4,1,5000,10,0.6,345.0,345.0,0.0
4,1,5500,10,0.6,345.0,345.0,0.0
4,1,6000,10,0.6,345.0,345.0,0.0
4,1,6500,10,0.6,345.0,345.0,0.0
4,1,7000,10,0.6,345.0,345.0,0.0
4,1,7500,10,0.6,345.0,345.0,0.0
4,1,8000,10,0.6,345.0,345.0,0.0
4,1,8500,10,0.6,345.0,345.0,0.0
4,1,9000,10,0.6,345.0,345.0,0.0
4,1,9500,10,0.6,345.0,345.0,0.0
4,1,10000,10,0.6,345.0,345.0,0.0
4,2,0,10,0.6,4323.0,7414.2,2102.3658482766505
4,2,500,10,0.6,2337.0,5276.2,1632.129026762284
4,2,1000,10,0.6,2434.0,3018.7,369.5962797431814
4,2,1500,10,0.6,1050.0,2319.5,707.4296078056105
4,2,2000,10,0.6,696.0,1261.9,424.0828810503909
4,2,2500,10,0.6,290.0,346.1,84.9534578460465
4,2,3000,10,0.6,303.0,304.4,4.199999999999999
4,2,3500,10,0.6,303.0,303.0,0.0
4,2,4000,10,0.6,303.0,303.0,0.0
4,2,4500,10,0.6,303.0,303.0,0.0
4,2,5000,10,0.6,303.0,303.0,0.0
4,2,5500,10,0.6,303.0,303.0,0.0
4,2,6000,10,0.6,303.0,303.0,0.0
4,2,6500,10,0.6,303.0,303.0,0.0
4,2,7000,10,0.6,303.0,303.0,0.0
4,2,7500,10,0.6,303.0,303.0,0.0
4,2,8000,10,0.6,303.0,303.0,0.0
4,2,8500,10,0.6,303.0,303.0,0.0
4,2,9000,10,0.6,303.0,303.0,0.0
4,2,9500,10,0.6,303.0,303.0,0.0
4,2,10000,10,0.6,303.0,303.0,0.0
4,3,0,10,0.6,4958.0,6263.6,732.8926524396326
4,3,500,10,0.6,3380.0,4861.3,1138.9367892907842
4,3,1000,10,0.6,1863.0,3151.6,870.6996267370281
4,3,1500,10,0.6,621.0,1307.5,482.33002187299104
4,3,2000,10,0.6,676.0,813.8,133.71148043455358
4,3,2500,10,0.6,504.0,558.3,60.991884706082004
4,3,3000,10,0.6,519.0,519.0,0.0
4,3,3500,10,0.6,519.0,519.0,0.0
4,3,4000,10,0.6,519.0,519.0,0.0
4,3,4500,10,0.6,519.0,519.0,0.0
4,3,5000,10,0.6,519.0,519.0,0.0
4,3,5500,10,0.6,519.0,519.0,0.0
4,3,6000,10,0.6,519.0,519.0,0.0
4,3,6500,10,0.6,519.0,519.0,0.0
4,3,7000,10,0.6,519.0,519.0,0.0
4,3,7500,10,0.6,519.0,519.0,0.0
4,3,8000,10,0.6,519.0,519.0,0.0
4,3,8500,10,0.6,519.0,519.0,0.0
4,3,9000,10,0.6,519.0,519.0,0.0
4,3,9500,10,0.6,519.0,519.0,0.0
4,3,10000,10,0.6,519.0,519.0,0.0
4,4,0,10,0.6,4009.0,5694.9,1129.5839455303887
4,4,500,10,0.6,3012.0,4863.3,1149.3481674410066
4,4,1000,10,0.6,1438.0,2438.8,747.224036015973
4,4,1500,10,0.6,1019.0,1685.0,406.3884840888088
4,4,2000,10,0.6,494.0,1072.9,301.2107069810102
4,4,2500,10,0.6,235.0,242.5,5.572252686302013
4,4,3000,10,0.6,244.0,247.0,3.0
4,4,3500,10,0.6,244.0,244.0,0.0
4,4,4000,10,0.6,244.0,244.0,0.0
4,4,4500,10,0.6,244.0,244.0,0.0
4,4,5000,10,0.6,244.0,244.0,0.0
4,4,5500,10,0.6,244.0,244.0,0.0
4,4,6000,10,0.6,244.0,244.0,0.0
4,4,6500,10,0.6,244.0,244.0,0.0
4,4,7000,10,0.6,244.0,244.0,0.0
4,4,7500,10,0.6,244.0,244.0,0.0
4,4,8000,10,0.6,244.0,244.0,0.0
4,4,8500,10,0.6,244.0,244.0,0.0
4,4,9000,10,0.6,244.0,244.0,0.0
4,4,9500,10,0.6,244.0,244.0,0.0
4,4,10000,10,0.6,244.0,244.0,0.0
